code,depth1,median,lowland_drylandpc,montane_drylandpc,herb_drylandpc
2123.169681,2123.169681,2123.169681,58.56353591,33.70165746,7.73480663
3587.424634,3587.424634,3587.424634,68.78453039,28.17679558,3.038674033
6296.296296,6296.296296,6296.296296,67.40331492,25.13812155,7.458563536
9737.295435,9737.295435,9737.295435,60.22099448,28.17679558,11.60220994
14056.84755,14056.84755,14056.84755,33.14917127,43.92265193,22.9281768
15813.95349,15813.95349,15813.95349,37.84530387,33.70165746,28.45303867
16692.50646,16692.50646,16692.50646,42.26519337,32.87292818,24.86187845
17497.84668,17497.84668,17497.84668,30.11049724,52.76243094,17.12707182
18229.97416,18229.97416,18229.97416,20.99447514,45.5801105,33.42541436
18888.88889,18888.88889,18888.88889,30.38674033,41.16022099,28.45303867
19547.80362,19547.80362,19547.80362,26.51933702,45.02762431,28.45303867
20719.20758,20719.20758,20719.20758,24.86187845,39.77900552,35.35911602
21158.48407,21158.48407,21158.48407,27.62430939,35.91160221,36.4640884
21744.18605,21744.18605,21744.18605,34.25414365,35.35911602,30.38674033
22549.52627,22549.52627,22549.52627,27.90055249,43.64640884,28.45303867
23647.71748,23647.71748,23647.71748,33.97790055,36.4640884,29.55801105
25258.39793,25258.39793,25258.39793,26.51933702,43.09392265,30.38674033
26429.80189,26429.80189,26429.80189,29.83425414,38.67403315,31.49171271
27601.20586,27601.20586,27601.20586,22.6519337,37.29281768,40.05524862
28772.60982,28772.60982,28772.60982,27.62430939,36.1878453,36.1878453
30090.43928,30090.43928,30090.43928,37.01657459,26.79558011,36.1878453
31481.48148,31481.48148,31481.48148,27.90055249,35.91160221,36.1878453
33238.58742,33238.58742,33238.58742,19.61325967,39.50276243,40.8839779
35068.90612,35068.90612,35068.90612,22.6519337,34.53038674,42.81767956
37118.86305,37118.86305,37118.86305,24.58563536,31.7679558,43.64640884
38949.18174,38949.18174,38949.18174,27.62430939,35.35911602,37.01657459
41072.35142,41072.35142,41072.35142,26.51933702,32.87292818,40.60773481
42024.11714,42024.11714,42024.11714,25.96685083,32.87292818,41.16022099
44220.49957,44220.49957,44220.49957,23.75690608,30.38674033,45.85635359
45831.18002,45831.18002,45831.18002,18.78453039,27.3480663,53.86740331
46856.15848,46856.15848,46856.15848,24.30939227,33.42541436,42.26519337
47734.71146,47734.71146,47734.71146,29.00552486,29.55801105,41.43646409
48759.68992,48759.68992,48759.68992,27.3480663,24.58563536,48.06629834
49711.45564,49711.45564,49711.45564,22.37569061,24.30939227,53.31491713
50663.22136,50663.22136,50663.22136,22.37569061,28.72928177,48.89502762
51761.41258,51761.41258,51761.41258,35.91160221,25.96685083,38.12154696
59595.17657,59595.17657,59595.17657,34.25414365,30.93922652,34.80662983
61132.64427,61132.64427,61132.64427,30.11049724,38.67403315,31.21546961
62523.68648,62523.68648,62523.68648,30.38674033,26.79558011,42.81767956
63548.66494,63548.66494,63548.66494,26.79558011,27.62430939,45.5801105
64793.28165,64793.28165,64793.28165,23.48066298,33.97790055,42.54143646
66916.45134,66916.45134,66916.45134,33.70165746,29.83425414,36.4640884
69259.25926,69259.25926,69259.25926,27.62430939,31.49171271,40.8839779
71675.27993,71675.27993,71675.27993,40.05524862,13.8121547,46.13259669
72919.89664,72919.89664,72919.89664,30.66298343,29.28176796,40.05524862
74530.57709,74530.57709,74530.57709,30.38674033,35.91160221,33.70165746
75701.98105,75701.98105,75701.98105,27.90055249,28.72928177,43.37016575
77093.02326,77093.02326,77093.02326,28.17679558,32.32044199,39.50276243
78703.7037,78703.7037,78703.7037,36.4640884,25.13812155,38.39779006
79875.10767,79875.10767,79875.10767,36.4640884,30.11049724,33.42541436
81119.72438,81119.72438,81119.72438,41.43646409,27.62430939,30.93922652
82437.55383,82437.55383,82437.55383,35.91160221,31.49171271,32.59668508
82876.83032,82876.83032,82876.83032,42.26519337,29.28176796,28.45303867
