depth_cm,min,max,median,mean,grass_drylandpc
20,765,7997,5821,5345,23.22580645
42,1565,8967,6882,6398,9.032258065
62,2311,9807,7888,7353,10.32258065
81,2949,10464,8666,8130,3.870967742
103,3743,11184,9625,9031,11.61290323
122,4413,11816,10431,9804,3.870967742
138,4992,12341,11118,10456,9.032258065
160,5775,13047,12043,11352,5.161290323
181,6581,13670,12925,12195,10.32258065
201,7298,14205,13782,13014,24.51612903
223,8067,14974,14401,13679,5.161290323
244,8763,15702,14931,14249,10.32258065
260,9252,16219,15341,14680,12.90322581
279,9913,16826,15827,15197,6.451612903
301,10672,17488,16400,15801,5.161290323
320,11289,18078,16888,16317,23.22580645
340,11947,18692,17413,16860,18.06451613
361,12689,19276,17953,17434,19.35483871
380,13324,19822,18454,17950,24.51612903
400,14026,20378,18978,18495,16.77419355
415,14713,20830,19452,19012,20.64516129
442,16087,21684,20300,19944,27.09677419
470,17574,22525,21178,20904,61.93548387
479,18075,22793,21460,21212,11.61290323
491,18718,23132,21838,21619,65.80645161
512,19866,23757,22487,22332,33.5483871
520,20289,23992,22731,22603,68.38709677
530,20897,24275,23052,22943,78.70967742
552,22202,24974,23734,23699,29.67741935
563,22838,25317,24081,24070,23.22580645
574,23490,25601,24425,24444,25.80645161
582,24005,25881,24668,24718,23.22580645
594,24709,26374,25107,25199,27.09677419
609,25242,27428,25975,26071,21.93548387
629,26085,28862,27166,27241,23.22580645
650,27080,30253,28425,28484,15.48387097
667,27939,31300,29438,29487,15.48387097
691,29222,32836,30889,30912,20.64516129
710,30277,33908,32025,32041,24.51612903
732,31500,35195,33363,33356,20.64516129
746,32350,36030,34194,34188,25.80645161
770,33779,37374,35621,35600,14.19354839
789,34939,38403,36757,36731,10.32258065
811,36325,39548,38072,38040,30.96774194
827,37372,40351,39024,38989,11.61290323
856,39432,41663,40752,40700,21.93548387
878,41301,42519,42039,42006,19.35483871
