median,Guano_d13C
10297.17258,-26
10523.93714,-25
10990.15239,-25
11113.04927,-26
11579.26452,-26
12048.65131,-26
12382.45508,-24
12835.19132,-23
13327.57172,-26
13909.5479,-26
14256.0378,-25
14724.63171,-25
15309.77942,-26
15765.68719,-25
16246.96722,-26
16710.80382,-26
21023.2949,-26
23463.78903,-25
25916.96928,-26
29057.57917,-25
30221.53153,-25
31271.30873,-25
31850.90627,-25
32321.08593,-25
32667.57584,-25
33021.20169,-25
33379.58485,-26
40238.81638,-24
