median,Guano_d13C
932,-23.8
2214,-24.8
3380,-25.5
4662,-22
6061,-23.8
7459,-26.1
8858,-25.4
10140,-25.4
11538,-26.7
12354,-25.8
13636,-25.8
15035,-23
16434,-20.3
17832,-19.8
21212,-18.1
24709,-18.1
27506,-21
30245,-24.6
32751,-25.8
35606,-25.4
38287,-24.1
43706,-23.6
